satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,heure_supplementaires,augementation_salaire_precedente,genre,statut_marital,departement,poste,a_quitte_l_entreprise,domaine_etude,frequence_deplacement
4,4,1,3,4,2,3,43,2645,1,6,5,3,2,3,2,2,1,4,Non,12 %,F,Divorcé(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
1,2,1,3,3,3,3,50,2683,1,3,3,2,0,2,3,2,0,2,Oui,14 %,M,Marié(e),Commercial,Représentant Commercial,Oui,Marketing,Occasionnel
4,3,1,4,1,3,3,35,2014,1,2,2,2,0,3,2,3,2,2,Non,13 %,F,Marié(e),Commercial,Représentant Commercial,Non,Marketing,Occasionnel
2,2,1,1,4,4,3,36,3419,9,6,1,1,1,3,5,4,0,0,Oui,14 %,F,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
3,4,2,1,1,3,3,33,5376,2,10,5,3,2,3,1,3,1,3,Non,19 %,F,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Frequent
3,3,1,4,3,3,3,35,1951,1,1,1,0,1,3,4,2,0,0,Non,12 %,M,Divorcé(e),Consulting,Consultant,Non,Autre,Occasionnel
4,3,1,1,4,3,3,27,2341,1,1,1,0,1,6,2,4,0,0,Non,13 %,F,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
1,1,1,3,3,2,3,26,2293,1,1,1,0,0,2,25,3,0,1,Non,12 %,M,Célibataire,Consulting,Consultant,Oui,Infra & Cloud,Occasionnel
4,3,3,3,4,3,3,27,8726,1,9,9,8,0,0,8,3,1,7,Non,15 %,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Frequent
3,3,2,4,4,3,4,30,4011,1,12,12,8,0,2,1,2,3,7,Non,23 %,F,Célibataire,Consulting,Consultant,Non,Transformation Digitale,Frequent
2,3,5,3,4,3,3,41,19545,1,23,22,15,0,0,12,3,15,8,Non,12 %,F,Marié(e),Consulting,Directeur Technique,Oui,Entrepreunariat,Occasionnel
2,3,2,3,3,3,4,34,4568,0,10,9,5,0,2,23,4,8,7,Non,20 %,M,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Aucun
2,3,1,2,1,3,4,37,3022,4,8,1,0,0,1,19,2,0,0,Non,21 %,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
1,3,2,4,3,3,4,46,5772,4,14,9,6,0,4,5,4,0,8,Oui,21 %,M,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Frequent
4,4,1,4,4,3,3,35,2269,1,1,1,0,0,2,8,1,0,1,Non,19 %,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
1,2,3,3,4,3,3,48,5381,9,23,1,0,0,2,1,2,0,0,Oui,13 %,M,Célibataire,Consulting,Consultant,Oui,Infra & Cloud,Occasionnel
3,3,1,3,3,2,3,28,3441,1,2,2,2,0,3,5,4,2,2,Oui,13 %,M,Célibataire,Consulting,Consultant,Oui,Entrepreunariat,Occasionnel
2,3,2,1,3,2,4,44,5454,5,9,4,3,1,2,1,5,1,3,Oui,21 %,F,Divorcé(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
3,2,3,1,3,3,3,35,9884,2,10,4,0,1,3,11,2,2,3,Oui,13 %,M,Marié(e),Consulting,Manager,Non,Transformation Digitale,Aucun
3,2,2,4,3,2,3,26,4157,7,5,2,2,1,2,23,3,0,0,Oui,19 %,F,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
1,3,3,4,3,3,3,33,13458,1,15,15,14,0,1,1,2,8,12,Oui,12 %,F,Célibataire,Consulting,Directeur Technique,Non,Infra & Cloud,Frequent
2,3,3,1,4,2,4,35,9069,1,9,9,8,1,3,18,5,1,8,Non,22 %,M,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Frequent
3,3,1,1,3,3,3,35,4014,3,4,2,2,1,3,23,4,2,2,Oui,15 %,F,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Occasionnel
4,3,2,4,4,2,4,31,5915,3,10,7,7,1,3,7,4,1,7,Non,22 %,M,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
1,2,2,3,3,4,3,37,5993,1,7,7,5,1,2,1,4,0,7,Non,18 %,M,Divorcé(e),Consulting,Tech Lead,Non,Infra & Cloud,Occasionnel
1,3,2,4,2,3,4,32,6162,1,9,9,8,1,3,1,3,7,8,Oui,22 %,M,Marié(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
4,3,2,4,4,3,3,38,2406,1,10,10,3,0,2,29,5,9,9,Non,11 %,F,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Frequent
2,2,5,3,4,2,3,50,18740,5,29,27,3,1,2,7,2,13,8,Oui,12 %,F,Divorcé(e),Consulting,Directeur Technique,Non,Transformation Digitale,Occasionnel
1,3,3,1,4,2,3,59,7637,7,28,21,16,0,3,25,3,7,9,Non,11 %,F,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
3,3,3,3,2,3,3,36,10096,1,17,17,14,3,2,8,3,12,8,Non,13 %,F,Divorcé(e),Consulting,Manager,Non,Entrepreunariat,Occasionnel
4,3,4,3,3,3,3,55,14756,2,21,5,0,3,2,8,3,0,2,Oui,14 %,F,Divorcé(e),Consulting,Senior Manager,Non,Transformation Digitale,Occasionnel
2,2,2,2,3,3,3,36,6499,1,6,6,5,0,3,11,3,0,3,Non,13 %,M,Célibataire,Consulting,Tech Lead,Non,Infra & Cloud,Frequent
2,3,3,1,3,3,3,45,9724,2,25,1,0,1,2,7,3,0,0,Non,17 %,M,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
2,3,1,1,4,2,3,35,2194,4,5,3,2,1,2,1,3,1,2,Non,13 %,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Frequent
4,2,1,3,1,2,3,36,3388,0,2,1,0,1,0,9,3,0,0,Oui,17 %,M,Marié(e),Consulting,Assistant de Direction,Oui,Transformation Digitale,Occasionnel
1,2,2,3,4,2,3,59,5473,7,20,4,3,0,2,1,1,1,3,Non,11 %,F,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Frequent
3,3,1,2,4,3,4,29,2703,0,6,5,4,1,3,2,3,0,4,Non,23 %,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
3,3,1,2,2,3,3,31,2501,1,1,1,1,0,4,1,4,1,0,Non,17 %,M,Célibataire,Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
2,3,2,2,2,3,3,32,6220,1,10,10,4,2,3,1,3,0,9,Non,17 %,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
2,4,1,4,2,3,3,36,3038,3,5,1,0,0,3,6,3,0,0,Non,12 %,F,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
3,3,2,4,4,3,4,31,4424,1,11,11,7,0,2,8,4,1,8,Non,23 %,F,Célibataire,Consulting,Tech Lead,Non,Infra & Cloud,Occasionnel
3,2,2,1,2,3,3,35,4312,0,16,15,13,0,2,1,4,2,8,Non,14 %,M,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Occasionnel
4,3,3,1,2,4,3,45,13245,4,17,0,0,0,3,6,4,0,0,Oui,14 %,M,Marié(e),Consulting,Directeur Technique,Non,Autre,Occasionnel
1,3,3,3,1,4,3,37,13664,4,16,5,2,0,3,7,4,0,2,Non,13 %,M,Célibataire,Consulting,Directeur Technique,Non,Transformation Digitale,Occasionnel
2,3,2,2,4,3,4,46,5021,8,16,4,2,1,2,5,2,0,2,Oui,22 %,M,Divorcé(e),Ressources Humaines,Ressources Humaines,Non,Transformation Digitale,Occasionnel
4,2,2,4,3,2,3,30,5126,1,10,10,8,2,1,1,1,3,0,Oui,12 %,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
2,2,1,3,1,3,3,35,2859,1,6,6,4,0,3,1,3,0,4,Non,18 %,M,Célibataire,Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
1,3,3,4,4,3,3,55,10239,3,24,1,0,1,4,1,2,1,0,Non,14 %,M,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
2,1,2,4,4,3,3,38,5329,7,17,13,11,3,3,6,3,1,9,Oui,12 %,F,Divorcé(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Aucun
1,3,2,2,3,3,3,34,4325,1,5,5,2,0,2,1,2,1,3,Non,15 %,M,Marié(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
4,1,3,4,1,2,3,56,7260,4,37,6,4,0,3,7,3,0,2,Non,11 %,M,Célibataire,Consulting,Tech Lead,Non,Infra & Cloud,Occasionnel
3,3,1,1,3,3,3,23,2322,3,3,0,0,1,3,2,1,0,0,Non,13 %,M,Divorcé(e),Commercial,Représentant Commercial,Non,Entrepreunariat,Occasionnel
4,3,1,4,2,3,4,51,2075,3,10,4,2,2,4,9,4,0,3,Non,23 %,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
3,2,2,4,1,3,3,30,4152,1,11,11,10,3,3,2,3,10,8,Non,19 %,M,Marié(e),Consulting,Manager,Non,Infra & Cloud,Occasionnel
3,2,3,4,4,3,3,46,9619,1,9,9,8,0,3,9,2,4,7,Non,16 %,M,Célibataire,Commercial,Cadre Commercial,Oui,Transformation Digitale,Occasionnel
3,2,4,2,4,2,4,40,13503,1,22,22,3,1,3,1,4,11,11,Non,22 %,M,Marié(e),Consulting,Manager,Non,Infra & Cloud,Frequent
3,3,2,4,4,1,4,51,5441,0,11,10,7,0,2,21,4,1,0,Oui,22 %,M,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Occasionnel
3,2,2,2,2,2,3,30,5209,1,11,11,8,3,4,4,2,2,7,Oui,12 %,F,Divorcé(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Occasionnel
3,2,3,1,3,2,3,46,10673,2,21,10,9,1,5,1,3,9,5,Oui,13 %,M,Marié(e),Consulting,Manager,Non,Transformation Digitale,Frequent
2,3,2,3,1,3,3,32,5010,1,12,11,8,0,0,6,4,5,7,Non,16 %,M,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Occasionnel
1,3,3,3,1,1,3,54,13549,9,16,4,3,1,5,2,4,0,3,Non,12 %,F,Marié(e),Consulting,Directeur Technique,Non,Entrepreunariat,Occasionnel
1,3,2,3,1,2,4,24,4999,0,4,3,2,1,2,3,2,0,2,Non,21 %,F,Marié(e),Commercial,Cadre Commercial,Non,Autre,Occasionnel
2,3,2,3,2,4,3,28,4221,1,5,5,4,0,3,4,3,0,4,Non,15 %,M,Marié(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Aucun
4,3,4,3,3,2,3,58,13872,0,38,37,10,0,1,10,4,1,8,Non,13 %,M,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Occasionnel
2,3,2,2,3,4,3,44,2042,4,17,3,2,1,3,23,3,1,2,Non,12 %,M,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Aucun
3,3,1,1,4,3,4,37,2073,4,7,3,2,0,3,6,4,0,2,Oui,22 %,M,Divorcé(e),Ressources Humaines,Ressources Humaines,Oui,Ressources Humaines,Occasionnel
4,3,1,1,4,3,3,32,2956,1,1,1,0,0,2,1,1,0,0,Non,13 %,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
4,2,1,4,2,3,3,20,2926,1,1,1,0,0,5,6,3,1,0,Oui,18 %,F,Célibataire,Consulting,Consultant,Oui,Infra & Cloud,Frequent
1,3,2,3,3,3,3,34,4809,1,16,16,13,0,3,6,4,2,10,Non,14 %,F,Célibataire,Consulting,Assistant de Direction,Non,Autre,Occasionnel
3,2,2,4,4,4,3,37,5163,5,17,1,0,1,2,2,2,0,0,Non,14 %,M,Divorcé(e),Consulting,Manager,Non,Infra & Cloud,Aucun
3,2,5,4,4,3,4,59,18844,9,30,3,2,1,3,2,4,2,2,Non,21 %,F,Marié(e),Ressources Humaines,Senior Manager,Non,Ressources Humaines,Aucun
1,3,5,2,1,2,3,50,18172,3,28,8,3,0,1,1,3,0,7,Oui,19 %,F,Marié(e),Consulting,Directeur Technique,Non,Infra & Cloud,Frequent
3,2,2,3,4,3,3,25,5744,1,6,6,4,0,1,5,3,0,3,Oui,11 %,M,Célibataire,Commercial,Cadre Commercial,Oui,Marketing,Occasionnel
4,2,1,4,3,3,3,25,2889,1,2,2,2,2,2,7,1,2,1,Non,11 %,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
2,3,1,4,3,3,3,22,2871,1,1,0,0,0,5,15,3,0,0,Non,15 %,F,Célibataire,Consulting,Consultant,Non,Transformation Digitale,Occasionnel
1,2,3,1,3,2,4,51,7484,3,23,13,12,0,1,1,4,12,8,Non,20 %,F,Célibataire,Consulting,Manager,Non,Transformation Digitale,Frequent
1,1,2,3,4,3,4,34,6074,1,9,9,7,0,3,7,3,0,6,Oui,24 %,M,Célibataire,Consulting,Consultant,Oui,Infra & Cloud,Frequent
4,4,4,4,3,3,3,54,17328,2,23,5,3,0,3,26,3,4,4,Oui,12 %,F,Célibataire,Ressources Humaines,Senior Manager,Non,Ressources Humaines,Aucun
2,3,1,3,3,3,3,24,2774,0,6,5,3,1,2,18,1,1,2,Non,12 %,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
3,2,2,2,3,3,3,34,4505,6,12,1,0,1,3,6,4,0,0,Non,15 %,F,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
3,3,3,4,1,3,3,37,7428,2,12,5,3,0,3,3,3,1,3,Non,12 %,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
3,2,3,1,4,3,3,34,11631,2,14,11,10,0,6,5,3,5,8,Non,12 %,F,Célibataire,Consulting,Senior Manager,Non,Transformation Digitale,Occasionnel
2,3,3,4,3,3,3,36,9738,0,10,9,7,1,6,11,2,2,8,Non,14 %,F,Marié(e),Commercial,Cadre Commercial,Non,Entrepreunariat,Frequent
1,3,1,4,1,3,4,36,2835,5,7,1,0,1,2,3,2,0,0,Non,22 %,F,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
3,3,4,4,4,4,3,43,16959,1,25,25,12,2,3,26,2,4,12,Oui,12 %,M,Marié(e),Commercial,Senior Manager,Non,Infra & Cloud,Frequent
1,1,1,3,3,2,4,30,2613,1,10,10,7,3,2,23,3,0,9,Non,25 %,M,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Frequent
3,3,2,2,1,4,3,33,6146,0,8,7,7,1,2,22,2,0,7,Non,13 %,M,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Aucun
2,3,1,2,1,3,3,56,4963,9,7,5,4,3,2,14,4,4,3,Oui,18 %,F,Marié(e),Consulting,Assistant de Direction,Oui,Infra & Cloud,Occasionnel
1,3,5,3,3,3,3,51,19537,7,23,20,18,0,5,6,3,15,15,Non,13 %,M,Célibataire,Consulting,Directeur Technique,Non,Infra & Cloud,Occasionnel
2,1,2,3,2,2,3,31,6172,4,12,7,7,0,3,6,4,7,7,Oui,18 %,M,Marié(e),Commercial,Cadre Commercial,Oui,Infra & Cloud,Occasionnel
3,2,1,2,3,2,3,26,2368,1,5,5,4,0,3,6,3,4,3,Non,19 %,F,Marié(e),Consulting,Assistant de Direction,Non,Autre,Occasionnel
4,3,3,4,4,2,3,58,10312,1,40,40,10,1,3,23,4,15,6,Non,12 %,F,Marié(e),Consulting,Manager,Oui,Transformation Digitale,Occasionnel
4,3,1,3,4,2,3,19,1675,1,0,0,0,0,2,22,1,0,0,Oui,19 %,M,Célibataire,Commercial,Représentant Commercial,Oui,Marketing,Occasionnel
3,3,1,4,3,3,3,22,2523,0,3,2,1,1,2,2,1,2,1,Non,14 %,M,Marié(e),Consulting,Consultant,Non,Entrepreunariat,Occasionnel
3,3,2,1,3,2,3,49,6567,1,16,15,11,0,2,20,4,5,11,Non,14 %,F,Marié(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
2,4,1,3,4,3,3,43,4739,4,18,3,2,0,2,28,3,1,2,Non,12 %,F,Célibataire,Consulting,Assistant de Direction,Non,Transformation Digitale,Frequent
3,3,3,4,4,3,3,50,9208,4,16,2,2,0,3,12,3,2,1,Non,11 %,F,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Frequent
2,1,2,3,3,3,3,31,4559,3,4,2,2,1,2,20,3,2,2,Oui,11 %,F,Marié(e),Commercial,Cadre Commercial,Oui,Infra & Cloud,Occasionnel
3,3,3,3,3,3,3,41,8189,3,12,9,7,1,2,9,1,0,7,Oui,13 %,M,Divorcé(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
3,3,1,3,4,3,4,26,2942,1,8,8,7,1,3,25,1,5,7,Non,23 %,F,Marié(e),Ressources Humaines,Ressources Humaines,Non,Infra & Cloud,Occasionnel
2,3,2,2,4,3,4,36,4941,6,7,3,2,2,0,6,2,0,1,Non,20 %,M,Divorcé(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
1,1,3,4,4,3,3,51,10650,2,18,4,2,0,2,8,4,0,3,Non,15 %,M,Célibataire,Consulting,Tech Lead,Oui,Infra & Cloud,Frequent
4,2,2,3,3,4,3,39,5902,4,17,15,11,1,1,4,4,5,9,Non,14 %,F,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
1,2,2,3,4,3,3,25,8639,2,6,2,2,0,3,28,3,2,2,Non,18 %,M,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
3,3,2,4,4,1,3,30,6347,0,12,11,9,0,2,9,3,4,7,Oui,19 %,M,Marié(e),Ressources Humaines,Ressources Humaines,Non,Ressources Humaines,Occasionnel
1,3,1,1,1,4,4,32,4200,7,10,5,4,0,2,9,3,0,4,Non,22 %,F,Célibataire,Consulting,Consultant,Oui,Transformation Digitale,Occasionnel
3,3,1,4,2,2,3,45,3452,5,9,6,5,0,2,29,3,0,3,Non,13 %,M,Célibataire,Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
4,3,2,3,2,3,4,38,4317,3,19,3,2,0,2,3,5,2,2,Oui,20 %,F,Célibataire,Consulting,Assistant de Direction,Non,Entrepreunariat,Occasionnel
1,3,1,3,3,2,3,30,2632,1,5,5,4,0,4,18,3,0,4,Non,14 %,F,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
4,1,2,4,4,4,3,32,4668,0,9,8,7,3,2,9,2,0,7,Non,17 %,M,Divorcé(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Frequent
4,3,1,1,4,3,3,30,3204,5,8,3,2,1,3,5,3,2,2,Non,14 %,F,Divorcé(e),Consulting,Assistant de Direction,Non,Entrepreunariat,Occasionnel
2,2,1,4,4,3,3,30,2720,0,6,5,3,0,3,2,1,1,2,Non,13 %,M,Célibataire,Consulting,Consultant,Non,Transformation Digitale,Occasionnel
4,2,4,1,2,2,3,41,17181,4,21,7,6,1,2,10,3,7,7,Non,13 %,M,Divorcé(e),Consulting,Senior Manager,Non,Infra & Cloud,Frequent
3,3,1,1,4,3,4,41,2238,2,7,5,0,1,2,9,4,1,4,Non,21 %,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
2,3,1,2,4,3,3,19,1483,1,1,1,0,0,3,3,1,0,0,Non,14 %,F,Célibataire,Consulting,Consultant,Non,Transformation Digitale,Occasionnel
2,3,2,2,1,3,3,40,5605,1,20,20,7,1,2,26,3,2,13,Non,11 %,F,Divorcé(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Frequent
3,3,3,2,1,3,3,35,7295,1,10,10,8,2,3,1,5,0,6,Non,13 %,M,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
2,3,2,3,4,1,4,53,2306,2,13,7,7,1,3,6,2,4,5,Oui,20 %,M,Marié(e),Commercial,Représentant Commercial,Non,Marketing,Occasionnel
2,3,2,2,3,1,3,45,2348,8,20,17,9,1,2,9,3,0,15,Non,18 %,M,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
2,3,3,4,4,3,3,32,8998,1,9,9,8,0,2,8,3,3,7,Non,14 %,F,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Frequent
4,3,2,3,1,3,3,29,4319,1,10,10,7,1,1,1,1,0,9,Non,13 %,M,Marié(e),Consulting,Tech Lead,Non,Entrepreunariat,Aucun
2,2,2,3,3,3,3,51,6132,2,10,1,0,0,2,7,4,0,0,Non,17 %,M,Marié(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
